RBurntQ2utjfVPUSp1NgcfkmokyPzZQRi4,492892728
RD7SZpgtfrLXB32bRcckYaVmre2ByL73Pi,3403085.13621057
RRwRh1hejPYwcywaHnnJXi2CdZv6yCY8Wb,2537159.84399999
RPRN6iRfchVciLbrTHFZ6EZ67TAiWE2wbf,2479411.56800478
RDRKrwZ9GRNHqU2jkefhzFHwPbHgADZA1f,2365726.03232652
RWrQYym8tm43LpQjPdvondxUwbd6M55X3G,2000088.51103231
RDM156cn6xFQN3mMoV1MfXQuU2KSoGXnCb,1876048.75010000
RHQprUHaySSJgLCzSVYQNVoFL2dmU7hANJ,1564469.88942022
RL2uXQLUSoCJQ7dMgJA9pWNgKiN6iMCn6J,1542786.72254742
RFQNjTfcvSAmf8D83og1NrdHj1wH2fc5X4,1326652.06977655
RLQoAcs1RaqW1xfN2NJwoZWW5twexPhuGB,1282220.35753435
RQiTPCmRwUby2fcL3VHBA2sgSJeNf8NpsJ,1279108.83002520
RARcozaVAMZaXJaL6KWMSw297xTYzbDwa3,1277778.65619650
RGjPJJuyu2rSX5LD3EThsrp4Rha1Tjcm6x,1189291.52687685
RPtkubyHxDR8pmnAombSnBBzABt3B2ssYh,1172147.11560996
RSUMqZFwz7yPzTmyzEtH9VzH7LBoD7twSB,1162463.46470867
RPyD36pL25mRh4uNR2AaEHfoUjVHYDUbVe,1135843.32305648
RX3kkKS9yNb5pTVW8wYhwhvjLu95KHHKWL,1129193.42062938
RV8Khq8SbYQALx9eMQ8meseWpFiZS8seL1,1122685.95055039
RFUN8XezmmZt47pzVmoz7aN5LtFNV9pyuj,1111077.55868099
RB2peEqBLXrPSvfTKwyV5qFQx9h2nLh1aw,1109714.14638800
RPEpLa9Ht8FwDQQucrZ6xYZaujKP3FojLL,1109242.60580679
RGPido1EWcPWngDfkAcn4M4HXYt8avR4vs,1084551.96999895
RGhG4A5sY7vpLQs9JfAv9sP1FAEtp7QpqQ,1054162.99390000
RKUV7wkP4yTR1suVYLicf4ZaooQzz8u5iR,1015116.59702961
RC6TuDXckmHqS85gF1JbLi9pPRD3oEWmiT,1014144.40255749
RRrqjqDPZ9XC6xJMeKgf7GNHjiU88hJQ16,1006491.06390688
RAp1nC9pRUaEXv2AZkvviEropyoeELiJ4P,998100.01399636
RV2evPRxFGk2ev7eRxUvWuzjYPWwQ2kpMC,984472.62280869
RC3EU3a6mUoU1XBmBb4ngzZqXsEpi4QQhW,980595.62163249
RGvmv1u2wCJuwyyDRu6ozdKz3qiF8v41Qv,961559.73661254
RJTot1iCBmq2pBRVjd2f3vBrpq6WUnuKP1,942040.24572616
RAnvcMmra8sUqjQoUZ4kGGPypdaHhfvnkY,936792.42900565
RXrQPqU4SwARri1m2n7232TDECvjzXCJh4,921184.38865339
RMJSSYwHmMHW9BsKTx5sPckDDvPRTAJQHL,915982.22403520
REEGE6drFqGLpxiA1mhfcb5R9MndnaD1cy,911671.43120350
RHwisJY3gxBT8jUzfJzjHrcwKar6tyqDWH,860478.32990094
RWLe6SPYRGthPfZrUBPT29fFRNmaiqybaU,858654.81442773
RNUT2at4RdRr2XMbcQpjWG9x291GtypxFT,800000
RCu5EdDcnrM4LtuBPNZG8iyu2MF2mWscHu,783965.10894193
RDsZf7wcMvST9RoKpY8EU7RJ8i3rMRt5Uo,769000.28072030
RGgHtNEAwr9czWQeypyDkmVK58ie7BpAUC,722620.71165149
RS9erX84xJG17efdZ66qHxhsUMG15fnCsH,678482.01208410
