Name;Region;Address;Proposal
jackson;AR;RGvmv1u2wCJuwyyDRu6ozdKz3qiF8v41Qv;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/jackson
jackson;NA;RDmiZnZ1hr8u5hppZ1rGeDNp5BgUjTC6on;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/jackson
kashifali;EU;RQMwcDYMVBx9f4QCFfFk31px8QZP4e8uhA;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/kashifali
kolo;Cat_Island;RHPGxpiwRHP4dKZXjYPdpon1nCto7qVE8s;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/kolo
komodominingpool;EU;RA3TrZaeCmuHd3uNcSGCnoiyXYLABq9xG5;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodominingpool
komodominingpool;NA;RQPH3ymE1ZJRDedxz2cjW2sUwYx477QsUX;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodominingpool
komodominingpool;AR;RSDbaqCFQNAo7AuhHXxAugGCqjK2NyVDHt;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodominingpool
komodominingpool;SH;RSeakJoUh9WsX7JjwWfTGgtXTqRiCQ9PzW;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodominingpool
komodopioneers;SH;RAp1nC9pRUaEXv2AZkvviEropyoeELiJ4P;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodopioneers
komodopioneers;EU;RG52fygAqKrhepNCeVn1CwYZeS785XshMV;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/komodopioneers
libscott;SH;REEGE6drFqGLpxiA1mhfcb5R9MndnaD1cy;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/libscott
libscott;EU;RVMtoPmL8SiHCXSceMmxwpScAhDgsVvTZc;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/libscott
lukechilds;AR;RV2evPRxFGk2ev7eRxUvWuzjYPWwQ2kpMC;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/lukechilds
lumberscout;EU;RAGk5NYijYwCDMtU2PkDCAYvHZAoibpYLZ;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/lumberscout
madmax;EU;RKwH42V7Xh6n2VRzWZVPeY9CpqjDQ3g5Jo;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/madmax
madmax;AR;RPtkubyHxDR8pmnAombSnBBzABt3B2ssYh;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/madmax
meshbits;NA;RH1vUjh6JBX7dpPR3C89U8hzErp1uoa2by;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/meshbits
meshbits;AR;RV8Khq8SbYQALx9eMQ8meseWpFiZS8seL1;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/meshbits
meshbits;EU;RTF4GvjePY4YUy3M8iwkGZfEor2p5zFkbo;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/meshbits
metaphilibert;SH;RRrqjqDPZ9XC6xJMeKgf7GNHjiU88hJQ16;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/metaphilibert
muros;NA;RMZk9UQYto6o5jxwHQebTBYFfqw5NDAMoG;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/muros
muros;SH;RSQ1RYhjXVEcAZREUYfQxKMmD2gVHZrMwH;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/muros
muros;EU;RVeeDrbKvyJsotEifz88sfx7ybvNS4Xmpb;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/muros
nabob;AR;RNqn8uXQYmw1XGp1FM4CgK9vD28JiRUPA7;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/nabob
ninja;NA;RNJH663aPf66Mj2UaV6oL766LtVc3MZv6Q;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ninja
ninja;AR;RJYHNPK5hp4ZM5H12KrDXiLLnnq7fnxy3Y;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/ninja
noashh;NA;RT2JyVts5tb1prC7KYykmznrqw7VXJo1HB;https://github.com/KomodoPlatform/NotaryNodes/tree/master/proposals/noashh
